timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/07/16 09:36:22.718, 3 %, 0 %, 0 MiB, 204.42 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:22.922, 3 %, 0 %, 1 MiB, 204.19 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:23.128, 0 %, 0 %, 626 MiB, 204.05 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:23.329, 1 %, 0 %, 626 MiB, 203.72 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:23.529, 0 %, 0 %, 626 MiB, 202.83 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:23.729, 0 %, 0 %, 626 MiB, 202.70 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:23.929, 0 %, 0 %, 626 MiB, 202.46 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:24.130, 0 %, 0 %, 626 MiB, 202.20 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:24.330, 0 %, 0 %, 1072 MiB, 202.16 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:24.530, 0 %, 0 %, 3398 MiB, 202.51 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:24.731, 26 %, 0 %, 3878 MiB, 203.05 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:24.931, 2 %, 0 %, 5032 MiB, 203.16 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:25.132, 1 %, 0 %, 6220 MiB, 238.23 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:25.332, 28 %, 5 %, 6220 MiB, 287.77 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:25.532, 71 %, 15 %, 830 MiB, 385.37 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:25.733, 92 %, 18 %, 830 MiB, 417.66 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:25.933, 0 %, 0 %, 830 MiB, 418.02 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:26.133, 0 %, 0 %, 830 MiB, 382.52 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:26.334, 0 %, 0 %, 830 MiB, 343.40 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:26.534, 0 %, 0 %, 830 MiB, 235.96 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:26.734, 0 %, 0 %, 830 MiB, 202.93 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:26.935, 0 %, 0 %, 830 MiB, 202.27 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:27.135, 0 %, 0 %, 830 MiB, 201.78 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:36:27.335, 0 %, 0 %, 3544 MiB, 201.68 W, 1000.00 W, 1965 MHz, 3996 MHz
