timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/07/16 09:32:34.248, 3 %, 0 %, 0 MiB, 203.88 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:34.456, 0 %, 0 %, 1 MiB, 203.76 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:34.659, 0 %, 0 %, 626 MiB, 203.60 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:34.860, 0 %, 0 %, 626 MiB, 203.27 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:35.060, 0 %, 0 %, 626 MiB, 202.46 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:35.260, 0 %, 0 %, 626 MiB, 202.41 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:35.461, 0 %, 0 %, 626 MiB, 202.24 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:35.661, 0 %, 0 %, 626 MiB, 201.97 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:35.861, 0 %, 0 %, 1072 MiB, 201.93 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:36.062, 27 %, 0 %, 3568 MiB, 202.36 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:36.262, 1 %, 0 %, 3952 MiB, 202.80 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:36.462, 1 %, 0 %, 3984 MiB, 202.71 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:36.663, 0 %, 0 %, 4044 MiB, 202.73 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:36.863, 0 %, 0 %, 4092 MiB, 204.10 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:37.063, 35 %, 3 %, 4098 MiB, 211.02 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:37.264, 77 %, 8 %, 4098 MiB, 236.78 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:37.464, 77 %, 8 %, 4098 MiB, 258.90 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:37.665, 76 %, 8 %, 4098 MiB, 284.33 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:37.865, 76 %, 8 %, 4098 MiB, 309.39 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:38.066, 77 %, 8 %, 4098 MiB, 327.37 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:38.266, 77 %, 8 %, 4098 MiB, 322.23 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:38.466, 76 %, 8 %, 4098 MiB, 324.85 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:38.667, 75 %, 8 %, 4098 MiB, 322.95 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:38.867, 74 %, 8 %, 4098 MiB, 320.20 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:39.068, 76 %, 8 %, 4098 MiB, 320.06 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:39.268, 77 %, 8 %, 4098 MiB, 320.48 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:39.469, 76 %, 8 %, 4098 MiB, 319.31 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:39.669, 77 %, 8 %, 4098 MiB, 319.65 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:39.870, 82 %, 8 %, 4274 MiB, 334.60 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:40.070, 23 %, 2 %, 4292 MiB, 326.67 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:40.270, 79 %, 9 %, 4292 MiB, 334.53 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:40.471, 78 %, 9 %, 4292 MiB, 346.51 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:40.671, 78 %, 9 %, 4292 MiB, 358.20 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:40.872, 78 %, 9 %, 4292 MiB, 355.11 W, 1000.00 W, 1965 MHz, 3996 MHz
2026/07/16 09:32:41.072, 76 %, 8 %, 4292 MiB, 363.29 W, 1000.00 W, 1965 MHz, 3996 MHz
